ca,de
"Tots els recursos es van exhaurir.
","Alle Ressourcen wurden ausgeschöpft.
"
"Cada servei de devolució funciona un cop a la setmana.
","Alle Retourendienste verkehren einmal pro Woche.
"
"Tots els plans de salvament se’n van anar en orris per falta de diners.
","Alle Rettungspläne liefen ins Leere, da die finanziellen Mittel fehlten.
"
"Tots els robots es destrueixen excepte el de Toymaker.
","Alle Roboter, abgesehen von denen von Toymaker, werden zerstört.
"
"Tota la plomeria de la casa es troba en aquesta franja.
","Alle Rohrleitungen des Hauses befinden sich in diesem Streifen.
"
"També es van publicar totes les novel·les com a audiollibres.
","Alle Romane sind auch als Hörbücher erschienen.
"
"Totes les novel·les es van rebre amb respecte, encara que les seves vendes van ser moderades.
","Alle Romane wurden respektvoll aufgenommen, obwohl ihr Absatz mäßig war.
"
"Tots els vols de Roots Air van ser transferits a Air Canada.
","Alle Roots Air-Flüge wurden an Air Canada übertragen.
"
"Tots els alumnes, vestits de vermell, esperen rebre una lliçó d’immersió.
","Alle roten Anzüge warten auf eine Schnorchelstunde.
"
"Tots els cabells vermells de la capa base es dilueixen fins aconseguir or.
","Alle roten Haare in der Grundierung sind zu Gold verdünnt.
"
"Totes les rutes passen per Victoria Road en algun moment i s'aturen a Rydalmere Station.
","Alle Routen verlaufen irgendwann entlang der Victoria Road und enden an der Rydalmere Station.
"
"Tots els valors de retorn s’afegeixen i creen l’amplada combinada de l’objecte.
","Alle Rückgabewerte werden addiert und ergeben die kombinierte Breite des Objekts.
"
"Tots els bucs dels vaixells anteriors es van construir amb contraplacat.
","Alle Rumpfe der oben genannten Boote wurden aus Sperrholz hergestellt.
"
"Tothom em diu: és el sistema.
","Alle sagen mir: es ist das System.
"
"“Tothom deia que era impossible vèncer el Pare Malinowski”, va dir.
","„Alle sagten, es sei unmöglich, Father Malinowski zu schlagen“, sagte sie.
"
"Tothom semblava sorprès.
","Alle sahen überrascht aus.
"
"Tot el vi de Saint-Péray és blanc.
","Alle Saint-Péray-Weine sind weiß.
"
"Tots els mitjans de comunicació aprovats de l'Iran són propietat de l'estat o estan subjectes a supervisió.
","Alle sanktionierten Medien im Iran sind entweder in staatlichem Besitz oder unterliegen der Überwachung.
"
"Tots els esports sancionats van competir a la Cimera de la Conferència Atlètica.
","Alle sanktionierten Sportarten nahmen an der Summit Athletic Conference teil.
"
"Tots estaven asseguts, rígids, i miraven la pantalla.
","Alle saßen wie eingefroren da und starrten auf den Bildschirm.
"
"Tots els trens tenen la base a la cotxera de serveis per a vagons dissenyada especialment per Siemens de Northam, a Southampton.
","Alle Sätze sind im eigens dafür errichteten Siemens Northam Carriage Servicing Depot in Southampton stationiert.
"
"Tothom es protegeix a la gespa, però en Billy rep un parell de trets als braços.
","Alle schaffen es bis zum Rasen, aber Billy wird zweimal in die Arme geschossen.
"
"Totes semblen ser del tipus Planet d'Stephenson.
","Alle scheinen vom Typ der Stephenson „Planeten“ zu sein.
"
"Tothom semblava emocionat.
","Alle schienen ausgesprochen aufgeregt zu sein.
"
"Semblava que tothom hi estigués participant!
","Alle schienen dabei zu sein!
"
"Tots semblaven feliços i satisfets i pròspers.
","Alle schienen glücklich, zufrieden und wohlhabend zu sein.
"
"Totes les armes de pólvora, inclòs el singijeon, utilitzaven pólvora negra.
","Alle Schießpulverwaffen benutzten Schwarzpulver, einschließlich des Singijeons.
"
"Tots els nàufrags apareixien com a altres personatges del somni.
","Alle Schiffbrüchigen erschienen als andere Charaktere in dem Traum.
"
"Totes les naus necessiten motors sublleugers amb índex d'empenta.
","Alle Schiffe benötigen „Sublight“-Motoren mit einer Schubauslegung.
"
"Tots els vaixells que deixin el so intern en mar oberta han d'envoltar Tawero Point.
","Alle Schiffe, die den inneren Sund in Richtung offenes Meer verlassen, müssen Tawero Point umrunden.
"
"Però tots els ximpanzés porten bolquers, de manera que s’assembla molt a «Frasier».
","Alle Schimpansen tragen jedoch Windeln, daher ist es ähnlich wie „Frasier“.
"
"Totes les mànegues estan connectades a l’eix defectuós.
","Alle Schläuche werden an die defekte Nabe angeschlossen.
"
"Tots dormien mentre calaven foc a la casa.
","Alle schliefen, als das Haus absichtlich in Brand gesteckt wurde.
"
"Totes les interseccions tenen una designació alfabètica o alfanumèrica.
","Alle Schnittpunkte verfügen über eine alphabetische oder alphanumerische Bezeichnung.
"
"Tots els estudiants que assisteixen a l’escola poden esmorzar i dinar.
","Alle Schüle dieser Schule können Frühstück und Mittagessen essen.
"
"Totes les escoles han rebut qualificacions d'Ofsted de “bones” a “excel·lents”.
","Alle Schulen haben Ofsted-Bewertungen von „gut“ bis „hervorragend“ erhalten.
"
"Totes les escoles de Crozet són part de les escoles públiques del comtat de Albemarle.
","Alle Schulen in Crozet gehören zu den Albemarle County Public Schools.
"
"Totes les escoles i universitats del país romanen tancades aquell dia.
","Alle Schulen und Universitäten des Landes bleiben an diesem Tag geschlossen.
"
"Totes les escoles van rebre la qualificació de ""satisfactòria"", de les quals vuit van ser qualificades com a ""forta"" i una com a ""excepcional"".
","Alle Schulen wurden als „befriedigend“ eingestuft, acht sogar als „stark“ und eine als „außergewöhnlich“.
"
"S’inspeccionarien totes les escoles, utilitzant el règim existent.
","Alle Schulen wurden inspiziert, wobei man sich auf die bestehende Regelung stützte.
"
"Tots els estudiants estan ficats en la música, sigui en classes o classes particulars.
","Alle Schüler beschäftigen sich mit Musik, entweder im Unterricht oder in Privatstunden.
"
"Tots els estudiants d'aquesta àrea acudeixen a l'Oak Ridge High School.
","Alle Schüler in der Umgebung essen die Oak Ridge High School.
"
"Tots els alumnes estudien les mateixes assignatures en cada curs.
","Alle Schüler lernen die gleichen Fächer in jeder Klasse.
"
"Tots els edificis escolars i les instal·lacions esportives són a un campus.
","Alle Schulgebäude und Sportanlagen befinden sich auf einem Campus.
"
"Tots els recobriments de la cua també són vermells.
","Alle Schwanzdecken sind ebenfalls rot.
"
"Abans de continuar, totes les soldadures i segells han de ser totalment resistents a les filtracions fins aconseguir un alt buit.
","Alle Schweißnähte und Dichtungen müssen vor dem Fortfahren absolut dicht bis zum Hochvakuum sein.
"
"Les sis de les seves patrulles es van designar amb èxit.
","Alle sechs ihrer Patrouillen wurden als erfolgreich bezeichnet.
"
"Val la pena visitar tots els llocs d'interès del districte de Kendrapara.
","Alle Sehenswürdigkeiten vom Kendrapara Distrikt sind einen Besuch wert.
"
"Tots els seus germans van fer feines de pedrera quan van deixar l'escola.
","Alle seine Brüder gingen nach dem Schulabschluss in Grubenjobs.
"
"Tots els seus dissenys han posat èmfasi en l'alt rendiment amb un baix consum d'energia.
","alle seine Entwürfe haben alle den Schwerpunkt auf hohe Leistung bei geringem Stromverbrauch gelegt.
"
"Totes les seves ex-parelles i la seva dona, han parlat malament d'ell.
","Alle seine Exfreundinnen und seine Frau hatten Berichte gegen ihn eingereicht.
"
"Totes les seves expedicions van beneficiar-se de la formació mèdica de Luschan.
","Alle seine Expeditionen profitierten von Luschans medizinischer Ausbildung.
"
"Tots els seus avis van emigrar d’Irlanda als Estats Units.
","Alle seine Großeltern sind von Irland in die Vereinigten Staaten eingewandert.
"
"Tots els seus fills es van ser musulmans.
","Alle seine Kinder wurden Muslime.
"
"Tots els seus discursos em van semblar molt ortodoxos i amables.
","Alle seine Reden erschienen mir sehr orthodox und liebenswürdig.
"
"Tots els seus tresors, elefants i el seu harem van ser capturats pels vencedors.
","Alle seine Schätze, Elefanten und sein Harem wurden von den Siegern erbeutet.
"
"Totes les seves obres van mostrar aprenentatge, i van ser escrites en un estil animat.
","Alle seine Werke zeigten das Lernen und wurden in einem lebendigen Stil geschrieben.
"
"Tots els seus valuosos llibres i manuscrits van ser cedits a la universitat.
","Alle seine wertvollen Bücher und Manuskripte wurden der Universität vermacht.
"
"Els seus fills han aconseguit tirar endavant d'alguna manera o una altra.
","Alle seiner Kinder stolperten auf die eine oder andere Weise nach oben.
"
"Totes les bandes queden molt exposades, per la qual cosa cal extremar les precaucions quan baixa la boira.
","Alle Seiten sind sehr offen, und bei absteigendem Nebel ist besondere Vorsicht geboten.
"
"Les activitats sexuals de Lurie són totes inherentment arriscades.
","Alle sexuellen Aktivitäten von Lurie sind von Natur aus riskant.
"
"Tots els pantalons curts aquí són de Mickey Mouse i Minnie Mouse.
","Alle Shorts hier sind mit Abbildungen von Mickey Mouse und Minnie Mouse versehen.
"
"Tots els autobusos llançadora estan equipats amb plataforma per a cadira de rodes per garantir l'accessibilitat a persones amb discapacitat.
","Alle Shuttle-Busse haben Rollstuhlaufzüge für einen behindertengerechten Zugang.
"
"Els set santuaris tenen agulles daurades.
","Alle sieben Schreine haben vergoldete Turmspitzen.
"
"Els set senzills originals de Super Monkey's s'atribueixen tant a Amuro com al grup.
","Alle sieben ursprünglichen Singles von Super Monkey's wurden sowohl Amuro als auch der Gruppe zugeschrieben.
"
"Els quaranta-set tripulants van morir en l'accident.
","Alle siebenundvierzig Besatzungsmitglieder starben bei dem Vorfall.
"
"Tots els senyals són senyals de llum de color d’aspecte múltiple equipats amb barreres d’aturada del tren.
","Alle Signale sind mit Lichtsignalen in mehreren Farben und Signalarmen ausgestattet.
"
"Tots són descendents de la dinastia original.
","Alle sind Abkömmlinge der ursprünglichen Dynastie.
"
"Cap no té fulles, i viuen sota terra en simbiosi amb fongs micorrízics.
","Alle sind blätterlos und existieren unterirdisch in Symbiose mit Mykorrhizapilzen.
"
"Tots estan condemnats per assassinats múltiples o assassinats de nens.
","Alle sind entweder wegen mehrfachen Mordes oder wegen Kindermordes verurteilt.
"
"Tots són adequats per fer excursionisme i ciclisme de muntanya.
","Alle sind geeignet für Wandern auf Waldwanderwegen und das Fahren auf Radwanderwegen.
"
"Tots són bons.
","Alle sind gut.
"
"Tots són nadius de Nebraska.
","Alle sind heimisch in Nebraska.
"
"Tots es troben al comtat de Salem, inclosos el Last Lake i el Muddy Run.
","Alle sind im Salem County, auch der letzte See in der Muddy Run-Kette.
"
"Tots són forts a nivell local als seus mercats interiors i també tenen una presència internacional.
","Alle sind in ihren heimischen Märkten auf lokaler Ebene stark und verfügen außerdem über eine internationale Präsenz.
"
"Totes són autòctones de l’est i del sud-est asiàtics.
","Alle sind in Ost- und Südostasien beheimatet.
"
"Tots són coeducatius.
","Alle sind koedukativ.
"
"Totes són herbes perennes que creixen dels corms i produeixen espigues erectes amb flors vistoses.
","Alle sind mehrjährige Kräuter, die aus Knollen wachsen und aufrechte Ähren mit auffälligen Blüten produzieren.
"
"Tots són afluents del riu Indus, sent el Chenab el més gran.
","Alle sind Nebenflüsse des Indus, wobei der Chenab der größte ist.
"
"Tots són a una regió lliure.
","Alle sind ohne Region.
"
"Ningú no està satisfet.
","Alle sind unzufrieden.
"
"Tot brilla amb amor per tu, amor meu.
","Alle sind voller Liebe zu dir, mein Junge.
"
"Tots els senzills de ""Don't Call Us..."" van aparéixer a la discogràfica Claridge.
","Alle Singles von „Don't Call Us...“ erschienen auf dem Claridge-Label.
"
"Tots els seients estan fets de plàstic durable resistent a la intempèrie.
","Alle Sitze bestehen aus strapazierfähigem Kunststoff.
"
"Tots els escons eren d'un sol membre, excepte Antrim, Down i Fermanagh & Tyrone.
","Alle Sitze waren für einzelne Kandidatenr, mit Ausnahme von Antrim, Down und Fermanagh & Tyrone.
"
"Tots els seients estaven reservats i per a no fumadors.
","Alle Sitzplätze waren reserviert und Nichtraucherplätze.
"
"Totes les sessions es van celebrar a Montreal, a l'est del Canadà.
","Alle Sitzungen wurden in Montral, im Osten Kanadas abgehalten.
"
"Tots els soldats de combat de la unitat han de passar el curs de comandant durant el seu entrenament.
","Alle Soldaten dieser Kampfeinheit müssen in ihrer Ausbildung einen Kommandantenkurs ablegen.
"
"Els soldats, el conductor i els passatgers surten tots junts del restaurant.
","Alle Soldaten, Fahrer und Fahrgäste verlassen das Restaurant gemeinsam.
"
"Tots estaven destinats a servir com a entrenador per al Brigand semblant.
","Alle sollten als Trainer für ähnliche Briganten dienen.
"
"Totes les cançons les va escriure Joe Queer, tret que s'indiqui d'altre manera.
","Alle Songs, außer diejenigen, bei denen dies vermerkt ist, wurden von Joe Queer geschrieben.
"
"Totes les cançons estan escrites per Trey Anastasio excepte les que així consta.
","Alle Songs außgenommen die mit einem Hinweis wurden von Trey Anastasio geschrieben.
"
"Als dos primers discs de Roxy, totes les cançons van ser escrites per Bryan Ferry enterament.
","Alle Songs der ersten zwei Roxy Alben wurden ausschließlich von Bryan Ferry geschrieben.
"
"Morvan va escriure, cantar i produir totes les cançons de l'àlbum.
","Alle Songs des Albums wurden von Morvan selbst geschrieben, gesungen und produziert.
"
"Totes les cançons incloses les va produir Norman Whitfield.
","Alle Songs, die hier enthalten sind, wurden von Norman Whitfield produziert.
"
"Totes les cançons escrites i compostes per k.d.
","Alle Songs geschrieben und komponiert von k. d..
"
"Totes les cançons han estat escrites i compostes per Mike Chapman i Nicky Chinn, excepte on s’indiqui el contrari.
","Alle Songs geschrieben und komponiert von Mike Chapman und Nicky Chinn außer wo es angeben wird.
"
"""Totes les cançons escrites i produïdes per Brydon i Murphy"".
","„Alle Songs geschrieben und produziert von Brydon und Murphy“.
"
"Totes les cançons escrites per Andy Barlow i Lou Rhodes.
","Alle Songs geschrieben von Andy Barlow und Lou Rhodes.
"
